Release ; Filename ; Size ; LocTouched ; NR  ; NFix ; NAuth  ; LocAdded ; MaxLocAdded ; AvgLocAdded ; Churn ; MaxChurn ; AvgChurn ; ChgSetSize ; MaxChgSetSize ; AvgChgSetSize ; Bugginess
1;src\main\java\org\apache\hedwig\server\persistence\PersistenceManager.java;82;101;2;0;2;96;91;1.0;91;91;1.0;284;278;225.0;no
1;src\main\java\org\apache\hedwig\server\persistence\PersistenceManagerWithRangeScan.java;26;29;2;0;2;28;27;0.0;27;27;0.0;284;278;225.0;no
1;src\main\java\org\apache\hedwig\server\persistence\RangeScanRequest.java;67;81;2;0;2;79;77;1.0;77;77;1.0;284;278;225.0;no
1;src\main\java\org\apache\hedwig\server\persistence\ReadAheadCache.java;583;780;3;0;2;742;703;7.0;704;703;7.0;287;278;182.0;yes
1;src\main\java\org\apache\hedwig\server\persistence\ScanCallback.java;55;71;2;0;2;67;63;1.0;63;63;1.0;284;278;225.0;no
1;src\main\java\org\apache\hedwig\server\persistence\ScanCallbackWithContext.java;32;37;1;0;1;37;37;0.0;37;37;0.0;278;278;278.0;no
1;src\main\java\org\apache\hedwig\server\persistence\ScanRequest.java;56;66;2;0;2;65;64;1.0;64;64;1.0;284;278;225.0;no
1;src\main\java\org\apache\hedwig\server\proxy\ChannelTracker.java;98;130;2;0;2;127;124;1.0;124;124;1.0;284;278;225.0;no
1;src\main\java\org\apache\hedwig\server\proxy\HedwigProxy.java;137;174;4;0;2;167;159;2.0;160;159;2.0;289;278;144.0;yes
1;src\main\java\org\apache\hedwig\server\proxy\ProxyConfiguration.java;30;46;2;0;2;41;36;0.0;36;36;0.0;284;278;225.0;yes
1;src\main\java\org\apache\hedwig\server\proxy\ProxyConsumeHandler.java;49;62;2;0;2;60;57;1.0;58;57;1.0;285;278;187.0;no
1;src\main\java\org\apache\hedwig\server\proxy\ProxyPublishHander.java;52;62;1;0;1;62;62;1.0;62;62;1.0;278;278;278.0;no
1;src\main\java\org\apache\hedwig\server\proxy\ProxyStartDeliveryHandler.java;106;154;4;0;2;142;129;1.0;130;129;1.0;289;278;144.0;yes
1;src\main\java\org\apache\hedwig\server\proxy\ProxyStopDeliveryHandler.java;63;78;2;0;2;76;73;1.0;74;73;1.0;285;278;187.0;yes
1;src\main\java\org\apache\hedwig\server\proxy\ProxyUnsubscribeHandler.java;61;74;1;0;1;74;74;1.0;74;74;1.0;278;278;278.0;no
1;src\main\java\org\apache\hedwig\server\regions\HedwigHubClient.java;42;52;2;0;2;50;48;0.0;48;48;0.0;281;278;154.0;no
1;src\main\java\org\apache\hedwig\server\regions\HedwigHubClientFactory.java;52;62;2;0;2;61;60;1.0;60;60;1.0;284;278;225.0;no
1;src\main\java\org\apache\hedwig\server\regions\HedwigHubSubscriber.java;62;82;3;0;2;76;70;1.0;70;70;1.0;286;278;160.0;no
1;src\main\java\org\apache\hedwig\server\regions\RegionManager.java;166;221;4;0;2;202;180;2.0;183;180;2.0;289;278;144.0;yes
1;src\main\java\org\apache\hedwig\server\ssl\SslServerContextFactory.java;44;53;1;0;1;53;53;1.0;53;53;1.0;278;278;278.0;no
1;src\main\java\org\apache\hedwig\server\subscriptions\AbstractSubscriptionManager.java;386;492;4;1;2;472;450;4.0;452;450;4.0;287;278;137.0;yes
1;src\main\java\org\apache\hedwig\server\subscriptions\AllToAllTopologyFilter.java;33;39;1;0;1;39;39;0.0;39;39;0.0;278;278;278.0;no
1;src\main\java\org\apache\hedwig\server\subscriptions\InMemorySubscriptionState.java;54;66;2;0;2;65;64;1.0;64;64;1.0;284;278;225.0;yes
1;src\main\java\org\apache\hedwig\server\subscriptions\MessageFilter.java;28;33;2;0;2;32;31;0.0;31;31;0.0;284;278;225.0;no
1;src\main\java\org\apache\hedwig\server\subscriptions\SubscriptionEventListener.java;52;65;2;0;2;61;57;1.0;57;57;1.0;284;278;225.0;no
1;src\main\java\org\apache\hedwig\server\subscriptions\SubscriptionManager.java;96;118;2;0;2;111;104;1.0;104;104;1.0;284;278;225.0;yes
1;src\main\java\org\apache\hedwig\server\subscriptions\TrueFilter.java;28;32;1;0;1;32;32;0.0;32;32;0.0;278;278;278.0;yes
1;src\main\java\org\apache\hedwig\server\subscriptions\ZkSubscriptionManager.java;195;331;3;0;2;279;226;3.0;227;226;2.0;287;278;182.0;no
1;src\main\java\org\apache\hedwig\server\topics\AbstractTopicManager.java;168;219;4;1;3;208;187;2.0;197;187;2.0;288;278;137.0;yes
1;src\main\java\org\apache\hedwig\server\topics\TopicManager.java;69;87;2;0;2;81;75;1.0;75;75;1.0;284;278;225.0;yes
